,Full Words,No Stop Words,Stan Tags,Deception,Combined,Words in >5 Speeches,Complete Combined,LDA2 FW,LDA2 CHC,lda1 Full Words,lda1 No Stop Words,lda1 Stan Tags,lda1 Deception,lda1 Combined,lda1 Words in >5 Speeches,lda1 Complete Combined,PCA Full Words,PCA No Stop Words,PCA Stan Tags,PCA Deception,PCA Combined,PCA Words in >5 Speeches,PCA Complete Combined,svd5 Full Words,svd5 No Stop Words,svd5 Stan Tags,svd5 Deception,svd5 Combined,svd5 Words in >5 Speeches,svd5 Complete Combined
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,0.909230769,0.915384615,0.663076923,0.726153846,0.910769231,0.906153846,0.778461538,0.904615385,0.996923077,0.989230769,0.992307692,0.887692308,0.793846154,0.996923077,0.989230769,0.986153846,0.887692308,0.864615385,0.663076923,0.723076923,0.883076923,0.886153846,0.721538462,0.663076923,0.663076923,0.672307692,0.793846154,0.850769231,0.663076923,0.707692308
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bagging Classifier,0.889230769,0.855384615,0.821538462,0.746153846,0.884615385,0.875384615,0.890769231,0.903076923,0.992307692,0.986153846,0.993846154,0.855384615,0.744615385,0.996923077,0.98,0.978461538,0.770769231,0.8,0.792307692,0.712307692,0.84,0.775384615,0.709230769,0.807692308,0.793846154,0.729230769,0.744615385,0.846153846,0.804615385,0.724615385
Gradient Boost,0.903076923,0.895384615,0.832307692,0.752307692,0.909230769,0.912307692,0.910769231,0.906153846,0.992307692,0.986153846,0.993846154,0.855384615,0.76,0.996923077,0.98,0.978461538,0.789230769,0.810769231,0.784615385,0.689230769,0.847692308,0.766153846,0.703076923,0.803076923,0.775384615,0.736923077,0.76,0.841538462,0.809230769,0.712307692
Random Forest,0.886153846,0.886153846,0.832307692,0.766153846,0.895384615,0.876923077,0.875384615,0.906153846,0.995384615,0.986153846,0.993846154,0.855384615,0.744615385,0.996923077,0.98,0.978461538,0.695384615,0.706153846,0.764615385,0.715384615,0.741538462,0.72,0.706153846,0.8,0.803076923,0.744615385,0.744615385,0.849230769,0.792307692,0.718461538
AdaBoost,0.910769231,0.884615385,0.824615385,0.704615385,0.909230769,0.907692308,0.909230769,0.903076923,0.989230769,0.986153846,0.993846154,0.867692308,0.790769231,0.996923077,0.98,0.978461538,0.766153846,0.767692308,0.787692308,0.689230769,0.829230769,0.758461538,0.692307692,0.767692308,0.756923077,0.738461538,0.790769231,0.824615385,0.769230769,0.710769231
SVM,0.856923077,0.896923077,0.746153846,0.730769231,0.909230769,0.853846154,0.733846154,0.852307692,0.995384615,0.987692308,0.993846154,0.886153846,0.793846154,0.996923077,0.986153846,0.986153846,0.892307692,0.893846154,0.846153846,0.727692308,0.896923077,0.893846154,0.727692308,0.796923077,0.786153846,0.723076923,0.793846154,0.827692308,0.787692308,0.696923077
,0.892564103,0.888974359,0.786666667,0.737692308,0.903076923,0.888717949,0.84974359,0.895897436,0.993589744,0.986923077,0.993589744,0.867948718,0.771282051,0.996923077,0.982564103,0.981025641,0.80025641,0.807179487,0.773076923,0.709487179,0.83974359,0.8,0.71,0.773076923,0.763076923,0.724102564,0.771282051,0.84,0.771025641,0.711794872
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,87.5%,87.1%,78.4%,69.3%,88.4%,87.2%,82.1%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,89.3%,88.9%,78.7%,73.8%,90.3%,88.9%,85.0%,,,,,,,,,,,,,,,,,,,,,,
