,KNN,Naive Bayes,MLP,Decision Tree,Bagging Classifier,Gradient Boost,Random Forest,AdaBoost,SVM
Full Words,0.8630769230769231,0.8630769230769231,0.9092307692307692,0.796923076923077,0.8892307692307693,0.9030769230769231,0.8861538461538462,0.9107692307692308,0.8569230769230769
No Stop Words,0.8384615384615385,0.8676923076923077,0.9153846153846155,0.8,0.8553846153846154,0.8953846153846154,0.8861538461538462,0.8846153846153847,0.8969230769230769
Stan Tags,0.7892307692307692,0.7707692307692308,0.663076923076923,0.7753846153846153,0.8215384615384614,0.8323076923076922,0.8323076923076922,0.8246153846153845,0.7461538461538462
Deception,0.6553846153846153,0.48,0.7261538461538463,0.6784615384615384,0.7461538461538462,0.7523076923076923,0.7661538461538461,0.7046153846153846,0.7307692307692308
Combined,0.876923076923077,0.86,0.9107692307692308,0.803076923076923,0.8846153846153845,0.9092307692307692,0.8953846153846154,0.9092307692307694,0.9092307692307694
Words in >5 Speeches,0.8615384615384615,0.8507692307692307,0.9061538461538461,0.8046153846153846,0.8753846153846154,0.9123076923076923,0.876923076923077,0.9076923076923077,0.8538461538461538
Complete Combined,0.6553846153846153,0.8323076923076924,0.7784615384615384,0.8,0.8907692307692308,0.9107692307692308,0.8753846153846153,0.9092307692307692,0.7338461538461539
LDA2 FW,0.8938461538461538,0.7769230769230768,0.9046153846153846,0.8953846153846154,0.9030769230769231,0.9061538461538463,0.9061538461538461,0.9030769230769231,0.8523076923076924
LDA2 CHC,0.9953846153846154,0.9292307692307693,0.9969230769230769,0.9923076923076923,0.9923076923076923,0.9923076923076923,0.9953846153846154,0.9892307692307692,0.9953846153846154
lda1 Full Words,0.9892307692307692,0.9892307692307692,0.9892307692307692,0.9861538461538462,0.9861538461538462,0.9861538461538462,0.9861538461538462,0.9861538461538462,0.9876923076923078
lda1 No Stop Words,0.9938461538461538,0.9923076923076923,0.9923076923076923,0.9938461538461538,0.9938461538461538,0.9938461538461538,0.9938461538461538,0.9938461538461538,0.9938461538461538
lda1 Stan Tags,0.8830769230769231,0.8938461538461538,0.8876923076923078,0.8553846153846154,0.8553846153846154,0.8553846153846154,0.8553846153846154,0.8676923076923077,0.8861538461538462
lda1 Deception,0.7738461538461539,0.796923076923077,0.7938461538461539,0.7446153846153847,0.7446153846153847,0.76,0.7446153846153847,0.7907692307692307,0.7938461538461539
lda1 Combined,0.9969230769230769,0.9969230769230769,0.9969230769230769,0.9969230769230769,0.9969230769230769,0.9969230769230769,0.9969230769230769,0.9969230769230769,0.9969230769230769
lda1 Words in >5 Speeches,0.9892307692307692,0.9892307692307692,0.9892307692307692,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9861538461538462
lda1 Complete Combined,0.9876923076923078,0.9846153846153847,0.9861538461538462,0.9784615384615385,0.9784615384615385,0.9784615384615385,0.9784615384615385,0.9784615384615385,0.9861538461538462
PCA Full Words,0.8584615384615384,0.6384615384615384,0.8876923076923078,0.7153846153846153,0.7707692307692309,0.7892307692307693,0.6953846153846154,0.7661538461538461,0.8923076923076924
PCA No Stop Words,0.8492307692307692,0.64,0.8646153846153846,0.7292307692307693,0.8,0.8107692307692307,0.7061538461538464,0.7676923076923077,0.8938461538461538
PCA Stan Tags,0.7938461538461539,0.7476923076923077,0.663076923076923,0.7015384615384616,0.7923076923076924,0.7846153846153847,0.7646153846153846,0.7876923076923077,0.8461538461538461
PCA Deception,0.6569230769230769,0.6369230769230769,0.7230769230769232,0.6399999999999999,0.7123076923076923,0.6892307692307693,0.7153846153846154,0.6892307692307693,0.7276923076923076
PCA Combined,0.876923076923077,0.6784615384615384,0.8830769230769231,0.7953846153846154,0.8400000000000001,0.8476923076923077,0.7415384615384615,0.8292307692307691,0.8969230769230769
PCA Words in >5 Speeches,0.8584615384615384,0.64,0.8861538461538462,0.7092307692307692,0.7753846153846153,0.7661538461538463,0.72,0.7584615384615385,0.8938461538461538
PCA Complete Combined,0.6569230769230769,0.6384615384615384,0.7215384615384617,0.6384615384615384,0.7092307692307692,0.7030769230769229,0.7061538461538461,0.6923076923076923,0.7276923076923076
svd5 Full Words,0.7892307692307693,0.7738461538461539,0.663076923076923,0.7799999999999999,0.8076923076923077,0.803076923076923,0.8,0.7676923076923077,0.796923076923077
svd5 No Stop Words,0.74,0.7461538461538462,0.663076923076923,0.7153846153846153,0.7938461538461539,0.7753846153846154,0.8030769230769232,0.756923076923077,0.7861538461538462
svd5 Stan Tags,0.7276923076923076,0.7615384615384615,0.6723076923076923,0.7046153846153846,0.7292307692307693,0.736923076923077,0.7446153846153847,0.7384615384615385,0.7230769230769232
svd5 Deception,0.7738461538461539,0.796923076923077,0.7938461538461539,0.7446153846153847,0.7446153846153847,0.76,0.7446153846153847,0.7907692307692307,0.7938461538461539
svd5 Combined,0.8523076923076923,0.7892307692307693,0.8507692307692307,0.8138461538461538,0.8461538461538461,0.8415384615384616,0.8492307692307692,0.8246153846153845,0.8276923076923077
svd5 Words in >5 Speeches,0.7861538461538462,0.7723076923076924,0.663076923076923,0.7769230769230768,0.8046153846153846,0.8092307692307692,0.7923076923076924,0.7692307692307692,0.7876923076923077
svd5 Complete Combined,0.696923076923077,0.6692307692307692,0.7076923076923076,0.6723076923076924,0.7246153846153847,0.7123076923076923,0.7184615384615384,0.7107692307692308,0.696923076923077
